aX,aY,aZ,gX,gY,gZ,ss
0.279,-0.030,-0.891,2.319,1.343,1.099,0.05
0.270,-0.018,-0.857,2.258,0.671,1.099,0.05
0.280,-0.043,-0.895,2.136,0.061,1.221,0.05
0.295,-0.062,-0.935,1.770,-0.061,0.977,0.05
0.288,-0.042,-1.013,2.319,0.427,1.099,0.05
0.259,-0.001,-1.027,2.441,0.610,1.038,0.05
0.249,0.013,-1.103,2.502,-0.183,0.793,0.05
0.257,-0.010,-1.124,1.953,0.183,0.549,0.05
0.253,-0.034,-1.021,0.732,0.122,0.793,0.05
0.244,-0.045,-0.901,0.427,1.221,0.610,0.05
0.252,-0.050,-0.943,1.526,1.465,0.977,0.05
0.284,-0.049,-0.972,1.953,1.099,0.916,0.05
0.302,-0.005,-0.971,1.831,1.465,0.793,0.05
0.300,-0.027,-0.893,1.526,1.526,0.916,0.05
0.282,-0.027,-0.875,1.282,0.977,0.916,0.05
0.278,-0.051,-0.901,1.160,0.305,0.793,0.05
0.279,-0.056,-0.926,1.038,0.000,0.977,0.05
0.269,-0.029,-0.976,2.014,0.244,1.099,0.05
0.249,0.001,-1.054,2.380,-0.061,1.221,0.05
0.259,0.002,-1.134,1.770,-0.244,0.732,0.05
0.275,-0.023,-1.131,0.488,0.671,0.610,0.05
0.270,-0.040,-0.996,0.305,1.282,0.732,0.05
0.254,-0.044,-0.904,0.061,1.648,0.793,0.05
0.271,-0.044,-0.932,0.732,1.282,0.793,0.05
0.286,-0.043,-0.963,1.465,0.977,0.671,0.05
0.306,-0.031,-0.970,1.831,0.854,0.793,0.05
0.288,-0.022,-0.905,1.465,1.160,1.038,0.05
0.278,-0.042,-0.879,1.038,0.732,0.916,0.05
0.282,-0.060,-0.902,0.854,0.671,0.854,0.05
0.285,-0.047,-0.955,1.404,0.610,1.221,0.05
0.270,-0.011,-1.016,2.258,0.549,1.282,0.05
0.257,0.014,-1.097,2.258,0.000,0.793,0.05
0.275,0.001,-1.158,1.587,-0.305,0.610,0.05
0.282,-0.033,-1.121,0.305,0.488,0.122,0.05
0.273,-0.051,-0.966,-0.244,1.831,0.671,0.05
0.252,-0.052,-0.896,0.549,2.014,0.916,0.05
0.271,-0.045,-0.941,1.587,1.465,0.977,0.05
0.292,-0.037,-0.953,1.770,1.526,0.732,1.25
0.296,-0.022,-0.944,1.709,1.221,1.099,1.25
0.284,-0.019,-0.897,1.221,1.221,0.671,1.25
0.294,-0.043,-0.911,1.282,0.916,0.427,1.25
0.291,-0.058,-0.922,1.282,0.549,1.038,1.25
0.281,-0.031,-0.970,1.465,0.732,1.221,1.25
0.270,0.001,-1.017,1.953,0.427,1.282,1.25
0.251,0.004,-1.100,1.709,-0.244,0.793,1.25
0.271,-0.006,-1.156,0.854,-0.183,0.610,1.25
0.276,-0.033,-1.033,-0.366,1.099,0.610,1.25
0.261,-0.048,-0.908,-0.366,1.953,0.671,1.25
0.260,-0.045,-0.917,0.854,1.465,0.610,1.25
0.282,-0.044,-0.968,1.160,1.465,0.977,1.25

0.065,0.048,-0.912,-0.122,5.920,2.808,21.62
0.157,0.075,-1.236,1.831,6.165,2.686,21.62
0.103,0.062,-1.004,1.038,7.996,2.502,21.62
0.137,0.038,-0.875,0.488,7.874,2.686,21.62
0.242,0.105,-0.901,1.343,6.531,3.113,21.62
0.243,0.126,-0.976,1.831,7.019,3.235,21.62
0.065,0.094,-0.755,0.427,7.385,2.686,21.62
0.080,0.047,-0.969,0.427,5.615,2.625,21.62
0.146,0.020,-0.936,-0.061,5.188,3.235,21.62
0.091,-0.010,-0.901,0.183,6.653,3.418,21.62
0.054,-0.017,-1.004,2.075,6.714,4.028,21.79
0.149,0.008,-1.016,1.770,7.751,3.723,21.79
0.057,0.029,-0.799,0.977,7.935,3.601,21.79
0.062,0.030,-0.932,2.075,6.897,4.089,21.79
0.117,0.023,-0.905,0.854,6.165,3.601,21.79
0.173,-0.038,-0.748,0.061,6.531,3.479,21.79
0.130,-0.044,-0.808,1.038,6.165,3.723,21.79
0.078,0.111,-0.981,2.869,5.249,3.723,21.79
0.036,0.079,-0.912,1.831,5.310,3.662,21.79
0.055,0.032,-1.038,1.709,5.127,3.479,21.79
0.041,0.144,-0.934,0.916,6.104,3.906,21.79
-0.037,0.231,-0.804,0.854,5.920,3.662,21.79
-0.032,0.086,-0.877,-0.122,4.944,3.784,21.79
0.069,-0.026,-1.029,-0.793,5.066,3.967,21.79
0.105,-0.014,-0.907,-1.343,5.920,3.662,21.79
0.124,0.052,-0.864,0.183,4.700,4.150,21.79
0.200,0.079,-0.973,1.770,3.906,4.211,21.79
0.186,-0.001,-0.725,-0.244,5.737,4.028,21.79
0.107,-0.042,-0.686,-0.732,5.798,5.371,21.79
0.023,0.053,-0.894,1.770,1.709,4.944,21.79
-0.013,0.087,-1.205,2.563,1.709,4.211,21.79
-0.004,-0.066,-1.104,-15.320,2.991,4.272,21.79
0.090,-0.118,-0.990,-0.488,3.296,4.395,21.79
0.076,0.064,-1.006,1.526,4.517,4.639,21.79
-0.015,0.099,-0.832,1.953,4.456,4.517,21.79
-0.016,0.016,-0.926,1.892,3.052,4.822,21.79
0.030,0.024,-0.856,0.488,3.601,4.456,21.79
-0.001,0.111,-0.741,0.427,2.991,4.333,21.79
0.002,0.112,-0.998,2.136,0.244,4.395,21.79
0.134,0.091,-1.172,2.686,0.427,4.272,21.79
0.197,0.109,-0.938,1.404,4.761,4.578,21.79
0.150,0.111,-0.535,0.183,5.249,4.822,21.79
0.119,0.099,-0.701,1.770,2.930,4.822,21.79
0.116,0.103,-0.820,1.221,1.587,4.883,21.79
0.070,0.100,-0.766,0.488,0.610,4.578,21.79
0.049,0.058,-0.946,1.099,-0.244,4.395,21.79
0.054,0.108,-1.147,1.221,-0.244,4.456,21.79
0.126,0.093,-1.074,0.122,1.831,4.272,21.79
0.061,0.113,-0.924,0.244,4.333,4.089,21.79
0.028,0.172,-0.810,0.549,4.211,4.333,21.79
0.090,0.145,-0.827,0.305,2.075,4.211,21.79
0.167,0.031,-0.884,-1.587,0.854,3.540,21.79
0.088,-0.077,-0.829,-2.991,0.366,3.662,21.79
0.024,-0.046,-0.852,-0.732,-0.244,3.906,21.79
-0.026,0.062,-1.095,1.770,-1.343,4.028,21.79
-0.057,0.236,-1.249,2.625,-1.038,4.089,21.79
-0.050,0.180,-1.157,1.831,0.854,3.723,21.79
0.046,0.063,-0.927,-0.549,3.967,3.296,21.79
-0.026,0.102,-0.586,-3.479,3.540,2.869,21.79
0.008,0.139,-0.592,-1.465,-0.732,3.540,21.79
0.167,0.045,-1.060,0.854,-2.258,3.906,21.79
0.229,0.047,-1.030,-0.854,-0.427,3.662,21.79
