aX,aY,aZ,gX,gY,gZ,ss
0.164,0.009,-0.989,2.014,0.061,0.854,64.06
0.231,0.043,-1.111,1.465,-0.793,0.854,64.06
0.160,0.038,-0.929,1.953,0.916,1.099,64.06
0.090,0.029,-0.845,1.587,-0.854,1.038,64.06
0.132,-0.007,-1.124,0.427,-2.258,0.793,64.06
0.156,0.015,-1.182,0.671,-2.319,0.366,64.06
0.246,0.082,-1.204,1.648,0.061,1.282,64.06
0.291,0.143,-0.867,2.319,3.052,1.648,64.06
0.338,0.107,-0.424,0.610,3.174,1.221,64.06
0.377,-0.012,-0.729,-0.732,0.366,0.977,64.06
0.379,-0.048,-1.023,-0.183,-1.465,0.793,64.06
0.329,0.067,-1.003,0.916,-1.831,1.282,64.06
0.243,0.076,-1.104,0.793,-2.441,1.221,64.06
0.289,0.079,-1.267,15.564,-1.160,1.526,64.06
0.257,0.084,-1.230,0.244,2.075,1.221,64.06
0.126,0.035,-0.867,0.793,4.272,1.343,64.06
0.095,0.057,-0.740,0.610,1.160,1.038,64.06
0.299,0.142,-1.090,-0.488,-2.258,1.160,64.06
0.449,0.103,-1.302,-1.099,-1.038,0.854,64.06
0.457,0.090,-0.977,-0.122,2.502,1.160,64.06
0.365,0.084,-0.716,-0.122,3.357,0.793,64.06
0.227,0.039,-0.721,-1.343,1.343,0.488,64.06
0.146,0.033,-0.843,-2.258,-0.793,0.183,64.06
0.140,0.030,-1.015,-2.075,-1.587,0.061,64.06
0.085,0.023,-0.847,-2.441,-0.916,0.183,64.06
0.135,0.038,-1.042,-1.770,-1.282,0.549,64.06
0.284,0.145,-1.226,-1.648,0.366,0.732,64.06
0.298,0.246,-1.048,-2.380,3.540,0.854,64.06
0.198,-0.027,-0.547,-2.136,4.700,0.244,64.06
0.332,-0.216,-0.791,-1.709,-14.771,0.183,64.06
0.317,-0.161,-1.023,-2.686,-2.075,0.305,64.37
0.295,0.075,-1.262,-1.831,-2.136,0.549,64.37
0.398,0.194,-1.507,-0.671,-0.427,1.038,64.37
0.346,0.050,-1.029,-1.770,4.700,0.732,64.37
0.237,-0.088,-0.715,-2.502,4.211,0.427,64.37
0.271,-0.024,-0.915,-2.014,0.671,0.793,64.37
0.360,0.028,-1.333,-1.953,-1.038,0.366,64.37
0.328,-0.047,-1.068,-1.831,0.854,0.122,64.37
0.339,-0.179,-1.019,-2.258,1.282,0.000,64.37
0.380,-0.066,-1.003,-0.610,2.441,1.038,64.37
0.361,0.063,-0.926,0.061,3.052,0.671,64.37
0.230,0.108,-0.764,-1.221,3.052,0.427,64.37
0.173,0.030,-0.943,-0.854,1.160,0.488,64.37
0.251,-0.113,-1.095,-0.732,0.671,0.854,64.37
0.192,-0.083,-0.993,-0.977,1.770,0.366,64.37
0.167,0.069,-1.081,-0.305,-0.610,0.671,64.37
0.227,0.094,-1.418,-1.282,0.122,0.610,64.37
0.194,-0.022,-1.144,-1.953,4.333,0.244,64.37
0.168,-0.079,-0.744,-1.343,5.188,0.854,64.37
0.145,-0.094,-0.671,0.183,2.258,1.282,64.37
0.252,-0.038,-0.968,0.183,-0.854,0.732,64.37
0.426,-0.028,-1.159,-0.916,-1.160,0.488,64.37
0.429,-0.086,-1.262,0.122,15.442,1.526,64.37
0.391,-0.091,-1.180,1.099,2.625,1.465,64.37
0.309,0.002,-1.102,1.465,3.296,1.160,64.37
0.316,0.015,-1.123,0.977,2.502,1.099,64.37
0.371,-0.013,-1.087,0.183,2.319,0.916,64.37
0.333,-0.077,-0.887,-0.488,3.784,0.793,64.37
0.247,-0.072,-0.631,0.916,3.113,0.916,64.37
0.225,-0.085,-0.798,1.221,1.587,1.160,64.37
0.245,-0.052,-0.904,0.977,1.343,1.282,64.37
0.263,0.000,-1.122,0.977,1.648,1.221,64.37
0.221,-0.053,-0.989,1.526,3.296,1.099,64.37
0.112,-0.092,-0.768,1.099,2.991,1.160,64.37
0.100,-0.003,-0.948,1.221,0.610,1.282,64.37
0.215,0.101,-1.288,1.709,-0.488,1.160,64.37
0.228,0.041,-1.117,1.404,1.831,1.099,64.37
0.230,-0.091,-0.937,0.854,3.723,1.099,64.37
0.251,-0.083,-0.896,1.709,2.869,1.587,64.37
0.323,-0.043,-1.016,1.526,1.648,1.343,64.37
0.324,-0.031,-0.988,1.465,1.892,1.343,64.37
0.313,-0.048,-0.957,1.587,1.404,1.221,64.37
0.237,-0.015,-1.145,1.709,0.427,1.099,64.37
0.224,0.109,-1.201,1.648,0.549,1.099,64.37
0.218,0.239,-1.237,1.709,1.770,1.160,64.37
0.219,0.278,-1.131,0.427,3.418,0.854,64.37
0.228,0.117,-0.970,-1.099,3.967,0.427,64.37
0.263,-0.066,-0.904,-1.770,4.028,0.366,64.37
0.284,-0.173,-0.793,-0.366,2.747,0.488,64.37
0.380,-0.162,-0.921,0.610,0.793,1.099,64.37
0.452,-0.134,-0.998,1.465,1.160,1.038,64.37
0.435,-0.060,-0.918,1.709,2.625,1.404,64.37
0.315,0.011,-0.891,2.258,4.089,1.892,64.37
0.181,0.077,-0.895,2.319,2.686,1.282,64.37
0.105,0.131,-1.097,2.014,-0.366,0.916,64.37
0.063,0.147,-1.310,0.671,-1.099,0.305,64.37
0.093,-0.005,-1.410,-0.488,14.771,0.000,64.37
0.140,-0.079,-1.168,0.183,2.136,0.183,64.37
0.030,-0.034,-0.948,1.587,4.089,1.038,64.37
0.028,-0.016,-0.943,2.075,3.784,1.221,64.37
0.198,0.018,-0.989,1.648,3.174,1.099,64.37
0.316,-0.027,-0.821,-0.061,2.625,0.671,64.37
0.300,-0.110,-0.800,-0.183,0.244,0.244,64.37
0.386,-0.086,-1.006,1.343,-0.977,0.732,64.37
0.395,-0.051,-0.966,2.136,-0.244,0.732,64.42
0.310,-0.047,-0.978,1.892,0.977,0.854,64.42
0.199,-0.036,-1.042,1.892,1.404,1.160,64.42
0.151,-0.054,-1.007,2.319,1.587,1.404,64.42
0.159,-0.015,-0.951,2.136,0.977,1.038,64.42
0.158,0.035,-0.957,1.831,-0.549,1.221,64.42
0.271,0.069,-1.205,1.831,-0.854,1.099,64.42
0.367,-0.048,-1.265,1.282,1.709,1.099,64.42
0.318,-0.107,-0.897,1.648,3.845,1.038,64.42
0.280,-0.032,-0.825,2.625,3.235,1.282,64.42
0.306,0.033,-1.030,2.625,0.549,1.282,64.42
0.311,0.103,-1.139,1.892,0.305,1.221,64.42
0.265,0.076,-0.909,1.709,1.038,0.854,64.42
0.116,-0.001,-0.843,1.953,0.061,0.916,64.42
0.123,-0.001,-0.997,1.587,-1.038,0.793,64.42
0.135,0.033,-1.068,1.282,-0.977,0.671,64.42
0.159,0.029,-1.051,1.587,0.854,0.610,64.42
0.130,-0.044,-0.888,2.014,1.831,1.221,64.42
0.224,-0.032,-0.927,2.014,1.465,1.404,64.42
0.317,0.052,-1.030,2.319,1.160,1.404,64.42
0.406,0.033,-1.104,1.953,1.099,1.221,64.42
0.378,-0.011,-1.111,1.465,0.793,1.099,64.42
0.404,-0.090,-1.134,1.099,0.549,1.526,64.42
0.405,-0.113,-1.012,1.709,0.732,1.221,64.42
0.426,-0.091,-1.136,1.892,0.427,1.221,64.42
0.406,-0.088,-1.238,2.502,1.221,1.587,64.42
0.374,-0.049,-1.078,2.991,3.113,1.709,64.42
0.321,-0.042,-0.851,3.418,2.869,1.709,64.42
0.343,-0.090,-0.915,2.625,2.136,1.770,64.42
0.272,-0.118,-1.063,3.174,1.099,1.648,64.42
0.225,-0.087,-1.258,3.479,-0.366,1.831,64.42
0.252,-0.077,-1.525,3.418,-0.366,1.831,64.42
0.370,-0.089,-1.408,3.418,1.709,1.526,64.42
0.407,-0.138,-1.184,3.540,4.333,1.587,64.42
0.328,-0.119,-1.061,3.662,4.822,1.709,64.42
0.234,-0.018,-0.928,4.822,5.066,2.136,64.42
0.206,0.042,-1.009,5.493,3.174,2.075,64.42
0.277,0.077,-1.066,4.333,1.648,1.770,64.42
0.379,0.111,-0.943,3.174,1.465,1.953,64.42
0.328,0.074,-0.766,2.258,3.235,1.282,64.42
0.194,-0.010,-0.756,2.197,3.479,1.465,64.42
0.060,-0.041,-0.931,3.845,1.892,1.709,64.42
0.123,0.037,-1.069,4.822,1.709,2.197,64.42
0.235,0.213,-1.011,4.089,1.709,1.953,64.42
0.277,0.287,-1.101,2.075,1.587,1.282,64.42
0.147,0.121,-1.164,1.648,3.052,1.099,64.42
0.148,0.003,-0.905,2.014,3.906,1.221,64.42
0.155,0.034,-0.789,2.563,2.258,1.709,64.42
0.269,0.066,-1.094,2.319,1.282,1.709,64.42
0.351,0.037,-0.928,1.038,4.578,1.221,64.42
0.367,-0.053,-0.581,1.587,5.737,1.587,64.42
0.282,-0.078,-0.597,2.075,4.517,1.892,64.42
0.202,0.028,-0.928,2.258,-15.137,1.404,64.42
0.244,0.072,-1.264,2.014,-1.709,1.099,64.42
0.340,-0.070,-1.182,1.465,-0.732,1.282,64.42
0.270,-0.127,-0.968,1.648,2.625,1.221,64.42
0.192,-0.084,-1.113,2.319,3.357,1.221,64.42
0.146,-0.010,-1.083,3.113,3.235,1.343,64.42

0.178,-0.054,-0.848,0.854,2.136,0.977,71.43
0.268,-0.008,-1.038,1.099,1.404,1.099,71.43
0.348,-0.005,-0.978,0.549,1.831,0.549,71.43
0.335,0.030,-0.868,0.977,1.587,0.488,71.43
0.315,-0.001,-0.828,1.343,0.549,0.183,71.43
0.292,-0.027,-1.006,1.465,-0.122,0.671,71.43
0.264,-0.052,-1.122,1.892,0.366,0.854,71.43
0.246,-0.088,-1.125,1.770,0.732,0.732,71.43
0.152,-0.058,-1.114,1.648,0.427,0.732,71.43
0.117,0.028,-1.236,1.648,-1.038,0.610,71.43
0.077,0.043,-1.041,2.075,0.793,0.793,71.43
0.000,-0.023,-0.738,2.014,2.991,0.732,71.43
0.084,0.005,-0.850,2.014,1.221,0.732,71.43
0.180,-0.006,-1.029,1.160,0.549,0.427,71.43
0.220,-0.034,-0.858,0.671,1.587,0.549,71.43
0.361,0.003,-0.770,1.587,1.160,0.793,71.43
0.418,0.031,-0.814,0.610,-0.305,0.671,71.43
0.371,-0.046,-0.857,0.610,-0.732,0.732,71.43
0.331,0.006,-0.945,1.709,-1.282,0.671,71.43
0.360,-0.014,-1.047,2.258,-1.099,0.671,71.43
0.245,0.015,-0.932,1.587,0.732,0.610,71.43
0.116,0.050,-0.987,2.014,0.305,1.099,71.43
0.234,0.049,-1.200,2.136,-1.099,0.488,71.43
0.335,0.012,-1.138,0.671,0.549,0.427,71.43
0.274,0.027,-1.018,1.465,1.282,0.244,71.43
0.254,0.011,-1.146,1.831,1.038,0.549,71.43
0.127,0.002,-0.950,1.648,1.953,0.427,71.43
0.129,-0.014,-0.751,1.648,1.587,0.671,71.43
0.227,0.058,-1.019,1.953,-0.916,0.793,71.43
0.315,0.026,-1.019,0.305,-0.854,0.305,71.43
0.306,0.061,-0.910,-0.122,0.244,0.244,71.43
0.262,0.086,-1.012,0.671,-0.061,0.671,72.16
0.222,0.043,-0.925,1.587,0.854,0.610,72.16
0.218,0.026,-0.875,0.977,0.854,0.793,72.16
0.219,0.034,-0.898,1.404,0.000,0.793,72.16
0.253,0.039,-0.941,1.099,-0.305,0.305,72.16
0.237,0.007,-0.991,1.404,-0.366,0.671,72.16
0.181,-0.062,-1.008,1.160,0.061,0.854,72.16
0.273,-0.028,-1.217,0.977,-1.465,0.793,72.16
0.377,-0.036,-1.277,0.000,-1.465,0.610,72.16
0.261,-0.159,-1.077,0.366,1.160,0.183,72.16
0.202,-0.147,-0.862,1.770,2.380,0.610,72.16
0.206,-0.059,-0.761,2.380,1.038,0.671,72.16
0.243,0.002,-0.832,1.831,-0.549,0.671,72.16
0.294,-0.019,-0.888,1.648,-0.549,0.977,72.16
0.294,-0.068,-0.986,1.770,-0.244,0.732,72.16
0.240,-0.101,-1.069,1.648,-0.610,0.671,72.16
0.206,-0.055,-1.105,1.587,-0.549,0.549,72.16
0.236,-0.064,-1.064,2.197,0.183,0.732,72.16
0.245,-0.083,-0.885,2.563,2.014,0.793,72.16
0.248,-0.095,-0.843,3.235,2.197,1.099,72.16
0.279,-0.095,-0.804,3.479,1.160,1.221,72.16
0.276,-0.086,-0.949,3.357,-0.305,1.038,72.16
0.246,-0.068,-0.929,3.479,0.610,0.854,72.16
0.232,-0.025,-0.828,4.333,0.793,1.282,72.16
0.330,0.024,-0.975,3.906,0.000,1.343,72.16
0.376,0.001,-1.130,3.418,0.854,1.160,72.16
0.306,-0.083,-0.903,2.991,3.296,0.916,72.16
0.183,-0.078,-0.656,3.662,2.686,1.160,72.16
0.147,-0.070,-0.890,4.150,0.366,1.221,72.16
0.233,-0.081,-1.057,3.662,-1.221,1.343,72.16
0.316,-0.031,-1.222,3.662,-0.916,1.465,72.16
0.352,-0.013,-1.161,4.272,1.160,1.343,72.16
0.304,0.024,-0.964,4.517,3.296,1.282,72.16
0.239,0.030,-0.813,4.333,2.502,1.648,72.16
0.229,0.043,-0.937,4.333,0.610,1.465,72.16
0.245,0.071,-1.143,3.601,-0.366,0.916,72.16
0.219,0.034,-1.199,2.502,-0.366,0.916,72.16
0.180,-0.038,-1.049,2.747,1.221,1.160,72.16
0.168,-0.045,-0.968,3.418,1.221,1.221,72.16
0.205,0.072,-0.989,4.211,1.404,1.587,72.16
0.283,0.099,-1.029,3.967,1.709,1.343,72.16
0.316,0.069,-1.037,2.686,1.770,0.916,72.16
0.305,0.077,-0.982,2.075,1.526,0.488,72.16
0.243,0.085,-0.972,2.441,1.099,0.671,72.16
0.250,0.029,-0.955,1.831,0.305,0.610,72.16
0.283,0.005,-1.044,2.075,0.427,0.732,72.16
0.252,0.048,-0.979,2.258,1.465,1.038,72.16
0.201,0.061,-0.844,1.587,1.953,0.854,72.16
0.137,0.026,-0.859,1.465,1.648,0.793,72.16
0.119,0.092,-0.909,1.770,1.160,0.488,72.16
0.217,0.081,-0.965,1.648,0.244,0.488,72.16
0.271,-0.021,-0.995,1.282,-0.122,0.671,72.16
0.362,0.005,-1.029,1.465,1.526,0.610,72.16
0.326,0.079,-0.858,1.587,2.991,0.610,72.16
0.163,0.100,-0.655,1.587,2.319,0.488,72.16
0.082,0.083,-0.779,1.465,0.671,0.488,72.16
0.100,0.094,-0.875,1.465,-0.916,0.549,72.16
0.148,0.029,-1.025,0.244,-1.770,-0.122,72.16
0.247,0.003,-1.090,-0.732,-1.160,0.061,72.16
0.274,-0.116,-1.121,0.244,0.549,0.427,72.16
0.366,-0.169,-1.198,1.526,1.404,0.854,72.16
0.391,0.092,-1.067,2.441,2.686,1.038,71.93
0.380,0.212,-0.967,2.441,2.502,1.282,71.93
0.320,-0.066,-1.030,0.916,1.831,0.305,71.93
0.227,-0.207,-0.730,0.732,1.343,0.488,71.93
0.157,-0.186,-0.943,1.587,-1.343,0.671,71.93
0.231,-0.159,-1.373,1.770,-2.686,1.160,71.93
0.371,-0.093,-1.237,2.380,0.549,1.221,71.93
0.317,0.021,-0.945,3.723,4.761,1.587,71.93
0.248,0.131,-0.839,4.456,4.272,1.404,71.93
0.169,0.156,-0.950,2.625,2.319,0.671,71.93
0.117,0.059,-0.900,1.404,0.732,0.427,71.93
0.137,-0.082,-0.826,1.282,-0.916,0.366,71.93
0.213,-0.097,-1.010,0.793,-1.587,0.732,71.93
0.336,-0.013,-1.126,2.197,0.549,1.038,71.93
0.315,0.100,-0.913,3.052,3.601,1.282,71.93
0.278,0.263,-0.819,3.113,3.662,1.221,71.93
0.182,0.335,-0.896,2.197,1.404,0.732,71.93
0.153,0.112,-1.035,-0.427,0.061,0.244,71.93
0.140,-0.003,-0.976,-2.014,-1.038,-0.610,71.93
0.241,0.002,-1.254,-2.319,-2.197,-0.183,71.93
0.228,0.077,-1.191,-1.587,0.488,0.671,71.93
0.194,0.094,-0.759,-0.122,4.089,0.977,71.93
0.248,0.122,-0.638,0.427,2.930,1.099,71.93
0.262,0.021,-0.854,-0.183,0.366,0.916,71.93
0.234,-0.031,-1.138,-0.061,-0.854,0.366,71.93
0.341,0.127,-1.221,-0.122,-1.953,0.427,71.93
0.476,0.099,-1.368,-1.282,-1.831,0.183,71.93
0.408,-0.007,-1.181,-1.892,1.831,0.122,71.93
0.207,-0.058,-1.009,-0.793,3.418,0.244,71.93
0.186,-0.113,-1.137,0.610,1.221,0.732,71.93
0.267,-0.033,-1.212,0.061,-0.793,0.183,71.93
0.433,0.107,-1.346,-0.183,0.549,0.122,71.93
0.481,0.163,-0.988,-0.366,5.432,-0.122,71.93
0.349,0.090,-0.476,-0.732,5.676,0.000,71.93
0.291,0.120,-0.650,-1.831,2.075,-0.061,71.93
0.317,0.149,-1.084,-2.930,-0.916,-0.916,71.93
0.226,0.101,-1.172,-3.906,-1.282,-1.160,71.93
0.190,0.014,-1.248,-3.357,0.488,-1.343,71.93
0.199,-0.061,-0.946,-2.258,2.625,-0.671,71.93
0.272,-0.068,-0.881,-1.526,3.418,-0.122,71.93
0.344,0.050,-1.062,-1.221,3.235,0.244,71.93
0.384,0.155,-1.277,-0.916,2.991,-0.122,71.93
0.412,0.035,-1.242,-1.404,3.418,-0.427,71.93
0.391,-0.104,-0.958,-2.991,4.089,-0.854,71.93
0.358,-0.160,-0.908,-1.953,2.319,-0.549,71.93
0.374,-0.215,-1.187,-1.648,1.099,-0.549,71.93
0.268,-0.207,-1.138,-1.282,2.930,-0.244,71.93
0.181,-0.098,-1.128,0.916,3.296,0.549,71.93
0.255,-0.025,-1.339,1.343,2.441,0.488,71.93
0.372,-0.024,-1.285,-0.122,4.028,0.183,71.93
0.402,-0.035,-1.052,-0.671,5.188,-0.244,71.93
0.381,-0.057,-1.068,0.061,4.333,-0.122,71.93
0.357,-0.048,-1.181,0.366,3.723,-0.427,71.93
0.296,0.031,-1.006,0.549,5.188,-0.427,71.93
0.199,0.089,-0.864,0.732,4.333,-0.366,71.93
0.187,0.074,-0.916,-0.305,2.747,-0.549,71.93
0.171,0.076,-0.883,-1.221,2.869,-0.244,71.93
0.188,0.010,-1.019,-0.916,2.136,-0.366,71.93
0.252,-0.064,-1.340,-0.793,1.282,-0.610,71.93
0.326,-0.051,-1.415,-0.671,2.991,-0.732,71.93
0.401,0.078,-1.393,-0.183,4.395,-0.610,71.93
0.422,0.160,-1.258,0.366,6.897,-0.427,71.93
0.360,0.136,-0.858,-0.488,8.118,-0.427,71.93
0.301,0.105,-0.816,-1.099,7.141,-0.671,72.53
0.276,0.091,-0.767,-1.587,4.822,-0.732,72.53
0.262,0.072,-0.985,-1.831,2.808,-0.916,72.53
0.355,0.030,-1.186,-2.014,1.343,-0.977,72.53
0.515,-0.051,-1.372,-2.319,1.282,-0.977,72.53
0.499,-0.192,-1.450,-1.099,3.296,-0.671,72.53
0.427,-0.285,-1.397,0.671,7.324,-0.427,72.53
0.296,-0.162,-1.054,2.014,9.216,0.061,72.53
0.268,0.027,-0.793,2.075,7.202,0.122,72.53
0.247,0.085,-0.988,0.122,4.944,-0.305,72.53
0.248,-0.028,-1.100,0.244,3.784,-0.977,72.53
0.281,-0.126,-1.207,-0.427,3.235,-0.916,72.53
0.179,-0.117,-1.235,-0.610,2.563,-0.610,72.53
0.176,-0.061,-1.516,-0.183,2.625,-0.610,72.53
0.264,-0.056,-1.451,0.977,5.188,-0.122,72.53
0.327,-0.044,-0.883,0.793,9.277,0.122,72.53
0.288,0.008,-1.099,0.366,8.240,0.183,72.53
0.257,0.199,-1.281,0.793,4.578,-0.305,72.53
0.244,0.215,-1.236,-0.732,2.319,-0.916,72.53
0.332,0.050,-1.081,-1.953,3.479,-1.465,72.53
0.433,0.037,-0.972,-1.404,5.066,-1.099,72.53
0.364,0.139,-0.917,-1.221,5.859,-0.183,72.53
0.165,0.100,-1.007,-1.465,5.615,-0.305,72.53
0.202,0.065,-1.081,-0.061,4.272,-0.244,72.53
0.338,-0.030,-1.235,-0.244,2.686,-0.427,72.53
0.311,-0.106,-1.201,-1.465,3.052,-0.793,72.53
0.263,-0.068,-1.122,-1.160,3.479,-0.366,72.53
0.299,-0.057,-1.385,-0.732,2.686,-0.244,72.53
0.268,-0.108,-1.195,-0.610,4.944,-0.366,72.53
0.157,-0.085,-0.979,-0.549,6.531,-0.122,72.53
0.074,-0.003,-0.936,0.427,5.493,-0.061,72.53
0.140,-0.003,-0.993,-0.671,3.967,-0.366,72.53
0.186,-0.046,-0.855,-1.099,3.296,-0.549,72.53
0.210,-0.105,-0.954,-0.610,2.686,-0.366,72.53
0.259,-0.074,-1.233,0.793,2.686,-0.061,72.53
0.342,0.063,-1.307,0.488,3.723,-0.244,72.53
0.333,0.138,-1.073,-0.427,5.249,-0.610,72.53
0.264,0.069,-0.759,-0.061,5.249,-0.427,72.53
0.210,-0.044,-0.750,-0.977,4.272,-0.671,72.53
0.151,-0.076,-0.761,-0.916,2.869,-0.549,72.53
0.153,-0.080,-1.035,-0.305,0.427,-0.061,72.53
0.311,-0.068,-1.328,-0.549,0.427,0.000,72.53
0.379,-0.067,-1.294,0.000,2.380,0.244,72.53
0.380,-0.120,-0.976,0.061,5.798,0.305,72.53
0.283,-0.100,-0.767,1.343,6.592,0.732,72.53
0.115,-0.081,-1.058,1.160,2.319,0.427,72.53
0.138,-0.083,-1.440,0.916,-1.648,0.122,72.53
0.219,-0.075,-1.556,0.122,-0.366,-0.427,72.53
0.291,-0.036,-1.320,0.854,2.686,0.061,72.53
0.326,0.026,-1.181,1.282,4.639,0.366,72.53
0.290,0.068,-0.947,1.282,5.920,0.732,72.53
0.280,0.069,-0.845,0.793,4.944,0.671,72.53
0.320,0.006,-0.987,0.366,1.709,0.183,72.53
0.258,-0.104,-1.073,-0.244,-0.061,0.061,72.53
0.129,-0.121,-1.066,-0.610,-1.038,-0.427,72.53
0.160,-0.118,-1.325,15.503,-1.953,-0.122,72.53
0.324,-0.059,-1.409,1.221,0.793,0.366,72.53
0.316,0.072,-1.052,1.221,5.493,0.854,72.53
0.198,0.177,-0.691,1.648,6.165,0.793,72.53
0.148,0.147,-0.669,1.770,4.517,0.488,72.53
0.125,-0.047,-0.857,0.427,1.221,0.000,72.53
0.196,-0.096,-1.141,-0.366,-1.587,0.183,72.53
0.292,-0.118,-1.425,-0.427,-2.625,0.000,72.53
0.327,-0.059,-1.391,0.061,-0.671,0.305,72.53
0.269,0.073,-1.049,0.183,2.563,0.427,72.49
0.206,0.111,-0.859,0.427,3.479,0.122,72.49
0.170,0.209,-0.797,0.854,3.174,-0.061,72.49
0.197,0.151,-0.891,-0.916,0.916,-0.488,72.49
0.295,0.054,-1.054,-1.770,-0.366,-0.610,72.49
0.356,-0.000,-0.985,-1.770,-1.221,-0.488,72.49
0.345,-0.084,-1.157,-1.831,-0.549,-0.427,72.49
0.316,-0.113,-1.110,-0.610,0.916,-0.122,72.49
0.280,-0.061,-1.166,0.244,0.793,0.366,72.49
0.268,0.040,-1.159,0.305,0.610,0.244,72.49
0.281,0.048,-1.118,-0.488,0.671,-0.061,72.49
0.223,-0.019,-1.164,-0.671,1.221,-0.305,72.49
0.206,-0.138,-0.884,-1.282,2.502,-0.244,72.49
0.229,-0.133,-1.051,-0.732,0.671,0.427,72.49
0.429,-0.064,-1.318,-0.183,-0.305,0.183,72.49
0.495,-0.021,-1.262,0.244,2.686,0.427,72.49
0.406,-0.034,-0.948,0.427,5.371,0.366,72.49
0.234,-0.043,-0.722,1.465,3.601,0.244,72.49
0.158,-0.071,-0.956,0.671,0.732,-0.122,72.49

0.401,-0.089,-0.833,0.854,5.310,0.916,72.60
0.343,-0.087,-0.820,1.648,4.395,0.916,72.60
0.265,0.003,-0.846,1.892,3.235,1.160,72.60
0.273,0.094,-1.006,1.648,1.709,1.221,72.60
0.269,0.107,-1.164,0.549,1.221,1.099,72.60
0.240,0.055,-1.200,0.000,1.221,0.366,72.60
0.280,0.002,-1.318,0.427,0.732,0.793,72.60
0.347,0.067,-1.338,0.793,2.441,0.610,72.60
0.380,0.113,-1.300,0.977,3.906,0.793,72.60
0.406,0.105,-1.178,1.099,4.089,0.854,72.60
0.422,0.061,-1.064,0.183,4.272,0.732,72.60
0.420,0.004,-1.001,-0.366,4.272,0.793,72.60
0.402,0.014,-0.924,-0.061,3.601,0.977,72.60
0.467,0.005,-0.920,-0.183,2.686,0.671,72.60
0.536,-0.063,-0.895,0.183,2.930,0.854,72.60
0.531,-0.074,-0.854,0.854,3.662,0.977,72.60
0.383,-0.028,-0.899,1.343,2.686,1.160,72.60
0.308,0.013,-1.147,1.526,1.587,0.916,72.60
0.315,0.045,-1.256,0.916,1.587,0.610,72.60
0.343,0.056,-1.212,1.038,1.526,0.793,72.60
0.324,0.053,-1.237,0.793,1.770,0.488,72.60
0.278,0.016,-1.122,0.244,2.319,0.305,72.60
0.295,-0.034,-1.237,0.305,2.075,0.549,72.60
0.334,-0.077,-1.211,0.732,3.113,0.977,71.54
0.288,-0.042,-1.089,1.282,3.845,1.038,71.54
0.358,0.054,-1.062,2.014,2.563,1.282,71.54
0.424,0.061,-1.078,1.343,1.587,0.732,71.54
0.475,-0.018,-1.074,0.732,2.441,0.977,71.54
0.440,-0.064,-0.943,0.732,2.686,1.038,71.54
0.403,-0.046,-1.063,1.221,1.648,0.977,71.54
0.371,-0.004,-1.194,1.465,1.038,0.916,71.54
0.339,-0.002,-1.162,1.831,1.892,1.099,71.54
0.301,-0.027,-0.941,1.709,2.686,1.160,71.54
0.327,-0.033,-0.807,1.221,2.991,0.977,71.54
0.317,-0.051,-0.844,1.038,1.709,0.854,71.54
0.284,-0.019,-1.072,1.343,1.038,1.038,71.54
0.315,0.030,-1.142,2.136,0.549,0.793,71.54
0.327,0.038,-1.189,1.892,0.671,0.916,71.54
0.376,-0.001,-1.164,1.709,0.854,0.793,71.54
0.402,-0.062,-1.080,1.465,2.502,0.732,71.54
0.369,-0.054,-0.902,1.831,2.502,1.282,71.54
0.325,-0.005,-0.904,2.380,1.831,1.160,71.54
0.318,0.042,-1.040,2.075,0.122,1.099,71.54
0.346,0.051,-1.088,1.343,0.305,0.854,71.54
0.341,-0.000,-1.062,0.977,0.488,0.916,71.54
0.300,-0.098,-0.950,1.160,1.221,1.221,71.54
0.327,-0.077,-0.994,1.709,1.587,1.465,71.54
0.368,0.029,-0.953,2.014,2.380,1.770,71.54
0.443,0.071,-0.996,2.563,2.869,1.343,71.54
0.506,0.089,-0.792,1.892,2.869,1.160,71.54
0.533,0.046,-0.832,1.404,1.465,1.282,71.54
0.516,0.014,-0.919,1.465,1.709,0.916,71.54
0.411,0.063,-0.914,1.465,1.160,1.282,71.54
0.343,0.079,-1.032,1.770,0.244,1.343,71.54
0.303,0.043,-1.054,1.160,0.000,1.160,71.54
0.297,-0.007,-1.004,1.099,0.549,1.099,71.54
0.255,-0.030,-1.058,0.793,1.343,0.732,71.54
0.183,-0.031,-1.104,1.343,1.160,0.977,71.54
0.250,0.025,-1.156,1.648,1.526,1.160,71.54
0.312,0.053,-1.115,1.526,2.014,1.160,71.54
0.347,0.029,-0.980,0.854,2.808,1.038,71.54
0.351,-0.026,-0.839,0.549,3.418,0.793,71.54
0.338,-0.074,-0.758,0.854,2.197,1.099,71.54
0.326,-0.036,-0.786,1.709,1.038,1.160,71.54
0.378,-0.004,-0.922,1.465,0.122,1.099,71.54
0.396,0.001,-0.922,1.282,0.610,1.343,71.54
0.428,-0.012,-0.939,1.648,0.854,1.282,71.54
0.387,-0.053,-0.963,1.953,1.221,1.648,71.54
0.376,-0.075,-1.005,1.953,1.282,1.465,71.54
0.309,-0.064,-1.000,2.136,0.916,1.160,71.54
0.290,-0.047,-1.082,1.953,0.427,0.793,71.54
0.323,-0.024,-1.028,2.197,0.610,1.038,71.54
0.336,-0.014,-0.952,2.014,1.465,0.854,71.54
