aX,aY,aZ,gX,gY,gZ,S
0.022,-0.056,-0.985,-0.732,0.671,0.183,0.448
0.021,-0.055,-0.984,-0.549,0.671,0.061,0.448
0.023,-0.054,-0.988,-0.488,0.732,0.183,0.448
0.023,-0.055,-0.988,-0.305,0.488,-0.122,0.448
0.022,-0.056,-0.984,-0.183,0.549,-0.305,0.448
0.019,-0.054,-0.985,-0.488,0.610,-0.122,0.448
0.021,-0.055,-0.987,-0.488,0.366,-0.122,0.448
0.021,-0.054,-0.985,-0.732,0.610,-0.122,0.448
0.021,-0.055,-0.985,-0.305,0.366,0.000,0.448
0.019,-0.055,-0.987,-0.854,0.305,0.122,0.448
0.021,-0.056,-0.983,-0.854,0.671,-0.061,0.448
0.020,-0.054,-0.988,-0.305,0.488,-0.244,0.448
0.023,-0.055,-0.988,-0.793,0.671,-0.122,0.448
0.021,-0.055,-0.985,-0.732,0.549,15.442,0.448
0.020,-0.053,-0.984,-0.793,0.488,-0.122,0.448
0.021,-0.053,-0.987,-0.549,0.305,0.061,0.448
0.022,-0.056,-0.987,-0.183,0.366,-0.122,0.448
0.146,-0.039,-1.144,-0.305,0.793,0.122,0.448
-0.038,-0.176,-0.711,-1.465,1.526,-0.549,0.448
-0.022,-0.054,-1.099,-15.259,3.235,0.305,0.448
-0.163,0.171,-1.945,-2.625,4.944,2.136,0.448
0.069,0.672,-1.952,-24.902,-6.470,3.418,0.448
-0.688,0.050,0.593,-30.762,-31.128,-12.024,0.448
0.785,0.518,0.008,24.231,-28.931,9.644,0.448
1.179,1.426,-1.753,20.691,-3.052,17.578,0.448
1.304,-0.222,0.986,20.325,8.545,5.859,0.448
0.130,-0.193,0.429,14.587,39.307,4.944,0.448
-0.278,0.272,-0.932,19.287,51.514,18.555,0.448
0.155,0.891,-1.655,-2.502,37.842,18.433,0.448
-1.233,0.590,-0.021,-14.709,7.690,-4.883,0.448
-2.291,0.126,-1.474,-12.329,-22.705,-10.925,0.448
0.244,1.749,-2.256,22.705,-67.627,-1.282,0.448
2.191,0.964,-1.193,-28.381,-48.889,-1.160,0.448
0.678,0.573,-1.926,-39.124,9.094,-8.057,0.448
-0.003,-1.034,-1.371,-11.841,25.208,-10.864,0.448
-0.013,0.751,-1.372,3.357,18.738,5.371,0.448
0.283,0.026,-1.000,-2.136,14.893,0.671,0.448
-0.129,-0.556,-0.635,-22.766,19.958,-11.719,0.448
-2.099,0.142,-0.584,-9.155,4.028,-4.822,0.448
-0.379,0.438,-1.265,15.686,-38.208,-1.831,0.448
0.919,1.371,-2.089,-7.935,-29.419,-2.991,0.448
0.587,-0.158,-0.390,-12.756,0.610,-16.296,0.448
0.222,0.730,-1.919,-4.272,15.503,-0.977,0.448
0.995,0.164,-1.973,-7.446,31.555,1.160,0.448
-0.943,-0.817,-0.361,26.672,23.376,-4.761,0.448
0.472,1.547,-1.517,27.466,13.306,12.756,0.448
0.360,0.306,-0.340,16.357,9.216,-6.226,0.448
-0.783,0.291,-1.148,3.357,11.902,-8.240,0.448
-1.656,0.089,0.232,10.254,-7.507,-10.193,0.448
-0.721,0.502,-1.438,23.437,-39.368,-8.423,0.448
1.725,1.498,0.094,5.371,-47.424,-8.118,0.448
