aX,aY,aZ,gX,gY,gZ,S
2.361,0.983,-2.724,15.686,-104.309,46.448,0.089
3.190,-0.547,-1.164,-27.832,-21.729,23.437,0.089
1.694,-0.901,-0.748,3.418,41.748,24.780,0.089
-0.866,0.614,0.466,12.024,52.917,30.212,0.089
-0.760,-0.079,0.059,11.963,46.021,24.353,1.704
0.162,-0.123,-0.009,33.386,33.997,41.870,1.704
-0.329,0.130,-0.502,17.029,44.983,44.617,1.704
-0.400,0.051,-0.233,7.263,23.926,37.048,1.704
-0.489,0.060,-0.156,4.150,20.203,33.997,1.704
-1.149,0.246,-0.541,-0.427,0.366,35.461,1.704
-1.036,0.602,-0.878,3.357,-31.982,43.457,1.704
0.613,0.573,-2.196,-13.123,-45.776,44.617,1.704
0.921,0.225,-2.006,-29.846,-28.687,43.579,1.704
1.176,-0.460,-2.083,-48.218,-5.371,37.598,1.704
0.175,-0.310,-1.253,-40.710,11.475,38.513,1.704
-1.018,-1.594,-1.245,-53.833,26.978,31.860,1.704
-1.108,-0.782,-1.535,1.526,-7.690,32.654,1.704
-0.488,-0.415,-0.720,15.747,-7.446,29.236,1.704
0.159,-0.438,-0.951,24.963,-10.986,23.132,1.704
0.273,0.070,-0.943,31.799,-8.484,12.451,1.704
0.350,0.284,-0.640,12.390,8.972,10.193,1.704
-0.012,0.204,-0.923,4.761,12.024,0.244,1.704
-0.189,0.271,-0.926,2.563,3.784,-4.517,1.704
-0.244,-0.147,-0.934,-7.690,0.244,-4.822,1.704
-0.087,-0.184,-1.038,-5.310,-5.005,-1.892,1.704
0.116,-0.188,-1.080,-0.366,-5.676,-1.526,1.704
0.294,-0.149,-1.231,6.531,-2.686,-1.831,1.704
0.198,0.020,-1.027,10.437,2.747,-2.441,1.704
-0.011,0.023,-0.961,7.324,6.958,-2.319,1.704
-0.183,-0.026,-0.869,6.042,5.310,-1.892,1.704
-0.138,0.042,-0.887,2.808,0.732,-1.404,1.704
-0.040,0.019,-0.907,1.221,-2.563,0.183,1.704
0.084,-0.001,-0.869,-1.709,-3.113,2.075,1.704
0.126,-0.018,-0.878,-3.357,-0.305,4.211,1.704
0.126,-0.137,-1.057,-4.395,2.808,5.005,1.704
0.138,-0.083,-1.037,-2.075,3.174,6.653,1.704
0.208,-0.060,-0.997,-0.305,4.211,5.310,1.704
0.112,0.019,-1.047,-2.930,7.935,2.319,1.704
-0.061,-0.099,-1.029,-4.761,10.010,-0.916,1.704
-0.233,-0.202,-0.948,-5.920,9.583,-5.188,1.704
-0.201,-0.306,-1.054,-1.343,3.784,-5.920,1.704
-0.249,-0.088,-1.016,3.662,-0.732,-5.676,1.704
-0.061,-0.103,-0.997,2.808,-2.014,-5.066,1.704
