aX,aY,aZ,gX,gY,gZ,S
0.024,-0.508,-0.193,10.620,12.329,-19.592,0.031
0.029,0.127,-1.555,3.235,-1.648,-36.621,0.031
0.863,0.299,-0.973,-9.705,-3.723,-32.471,0.031
-0.171,1.804,-1.335,-26.001,4.333,-52.551,0.031
1.857,1.529,-1.883,-30.029,10.864,-50.598,0.031
-0.709,0.136,0.956,-33.508,37.170,-51.941,0.031
-0.159,0.538,-2.499,-9.033,42.358,-40.588,0.031
-0.204,0.411,0.384,-23.743,29.114,-43.762,0.031
0.425,0.366,-1.527,-16.357,14.221,-44.250,0.031
-0.500,0.267,0.618,-20.386,1.038,-48.157,0.031
-0.274,0.362,0.003,-12.329,-45.532,-46.509,0.031
-0.085,-0.137,-2.033,-13.794,-27.466,-42.358,0.031
0.318,0.200,-0.602,-16.663,-16.296,-24.170,0.031
1.653,0.905,-3.432,-14.160,1.709,-29.602,0.031
-0.723,0.156,0.132,-21.790,12.695,-26.123,0.031
0.779,0.797,-3.626,-4.395,17.090,-22.217,0.031
0.629,0.303,-1.192,-4.761,23.132,-19.775,0.031
-1.373,-1.585,1.056,-26.672,49.438,-0.977,0.031
-1.177,1.253,-3.541,62.927,4.700,20.508,0.031
0.493,0.390,1.813,21.729,1.038,13.245,0.031
-1.035,0.102,-1.452,2.808,-20.264,0.061,0.031
1.038,0.877,-2.666,40.955,-46.387,-0.122,0.031
-0.164,-0.364,0.297,-22.583,-20.081,-21.484,0.031
0.731,0.905,-3.362,27.283,-12.024,2.625,0.031
-0.468,0.310,0.532,-4.089,12.634,6.348,0.031
-0.510,0.052,-0.378,21.973,11.353,7.812,0.031
1.589,0.770,-3.693,18.250,13.611,18.372,0.031
0.035,0.010,0.322,-21.362,38.086,15.442,0.031
-1.982,-0.645,1.305,-42.297,10.132,11.169,0.031
-0.539,0.594,-2.093,45.898,-38.635,10.925,0.031
0.105,0.842,-0.143,6.226,-46.021,-6.958,0.031
2.055,0.906,-1.920,-3.906,-33.325,3.723,0.031
0.254,0.914,2.036,-6.958,-3.540,15.686,0.031
2.415,0.355,-3.135,19.653,8.911,8.911,0.031
-0.731,-1.144,1.826,-39.124,55.115,17.273,0.031
-0.115,1.155,-3.143,50.964,6.531,33.203,0.031
-0.306,-0.075,-0.494,-38.208,32.349,21.362,0.031
-2.583,0.935,2.497,6.653,-11.780,23.560,0.031
1.941,0.923,-4.000,33.936,-39.368,19.104,0.031
-1.356,0.370,0.956,-28.442,-26.489,3.174,0.031
2.481,0.970,-3.949,24.902,-29.358,12.817,0.031
-1.623,0.495,-0.208,-43.823,23.499,9.399,0.031
1.459,1.367,1.384,26.855,-1.038,15.320,0.031
-1.469,0.229,-0.682,-60.364,32.593,8.667,0.031
-0.134,1.812,2.697,13.306,-1.343,29.907,0.031
