aX,aY,aZ,gX,gY,gZ,S
0.572,-0.467,2.391,-0.122,-6.714,6.958,0.309
0.417,1.745,-2.533,-13.184,25.330,13.123,0.309
-0.361,-1.034,3.267,17.761,-9.216,6.165,0.309
-0.314,0.895,-1.367,-16.785,24.170,16.968,0.309
0.323,-0.918,3.869,42.603,-7.935,14.221,0.309
-1.141,0.776,-3.494,-40.710,24.475,26.062,0.309
-0.138,-0.153,0.550,73.120,-34.180,16.724,0.309
0.002,1.355,0.548,-21.301,-16.846,12.085,0.309
0.677,2.115,-4.000,-27.649,-16.602,8.911,0.309
-0.215,-0.073,1.295,-33.081,-24.292,-5.066,0.309
0.096,0.908,-3.436,-5.676,29.907,24.109,0.309
0.455,-1.309,1.585,-0.488,20.691,7.263,0.309
0.618,0.786,-2.236,7.507,24.841,43.518,0.309
-0.005,-0.411,0.179,24.963,23.193,9.949,0.309
-1.925,1.592,-2.903,-28.625,28.870,20.874,0.309
-0.943,-0.626,-0.721,15.808,-15.808,7.446,0.309
-0.421,0.746,-2.627,-22.217,-28.931,7.812,0.309
0.693,0.777,0.040,13.977,-54.626,-1.160,0.309
0.358,0.340,0.222,-56.274,-23.071,1.587,0.309
1.863,-0.526,-3.025,20.264,-6.165,1.587,0.309
-0.599,-0.562,1.048,-42.053,31.189,4.395,0.309
0.023,0.681,-3.589,55.481,1.892,26.917,0.309
-1.349,0.170,2.826,-35.339,43.762,16.541,0.309
-0.093,0.687,-3.888,24.780,10.193,23.254,0.309
-0.820,-0.816,1.401,-2.686,4.822,0.977,0.309
0.287,2.201,-3.860,-14.099,-10.254,13.184,0.309
1.479,-0.571,1.827,13.489,-19.714,6.958,0.309
-0.135,1.312,-2.231,-76.660,21.851,10.254,0.309
-0.230,-2.038,1.608,80.627,-26.855,4.944,0.309
-0.031,0.474,-0.977,-37.476,33.203,32.959,0.309
-0.643,0.236,-3.335,51.758,-25.146,31.128,0.309
0.061,-2.604,1.515,-113.647,-10.376,-1.343,0.309
1.462,-4.000,1.992,-122.742,-122.498,-57.312,0.309
2.231,-4.000,0.610,-116.577,-23.376,-129.578,0.309
0.755,-4.000,-1.852,-57.983,34.851,-66.650,0.309
4.000,-4.000,-4.000,169.434,26.489,-41.260,0.309
0.235,0.813,4.000,168.274,7.935,-36.682,0.309
1.005,-3.214,-0.987,144.714,79.834,-11.414,0.309
-2.544,0.845,-1.784,140.869,86.182,-36.438,0.309
-4.000,3.979,-1.717,82.092,-9.583,-25.513,0.309
0.089,1.365,-1.378,62.988,-83.740,-54.321,0.309
-1.217,4.000,-0.736,22.217,-104.675,-24.780,0.309
3.666,-0.695,-0.118,24.109,-54.321,-34.302,0.309
1.174,-0.142,-0.990,-19.714,29.541,-31.372,0.309
0.846,-0.820,3.993,41.504,-4.944,-14.709,0.309
1.148,1.808,-3.601,90.271,41.321,19.531,0.309
1.320,-0.202,1.426,34.241,56.091,-8.301,0.309
-2.166,0.854,0.548,19.287,50.842,-6.958,0.309
-0.420,0.629,-1.369,36.865,30.945,-5.249,0.108
-1.559,0.627,0.153,-14.221,21.484,-33.325,0.108
-3.337,0.712,-0.497,17.761,-56.274,-44.617,0.108
1.452,2.085,-1.467,7.751,-84.351,-46.387,0.108
2.587,1.482,-0.816,-42.725,-39.185,-54.199,0.108
2.423,2.283,-3.993,-9.827,1.770,-35.034,0.108
1.213,-0.231,2.433,-91.492,45.166,-53.040,0.108
-1.062,-0.518,-0.767,-16.296,37.292,-51.880,0.108
-0.886,1.349,-0.488,-50.781,59.937,-30.334,0.108
-0.507,-0.234,-0.480,-58.167,28.198,-23.010,0.108
-0.536,0.511,-0.420,-54.138,14.709,-31.982,0.108
