aX,aY,aZ,gX,gY,gZ,S
-0.542,0.362,0.056,-130.310,20.020,-66.406,0.444
0.957,0.604,-3.749,-96.191,34.485,-41.687,0.444
-0.407,1.846,1.496,-177.307,44.983,-34.973,0.444
-0.674,-1.630,1.208,-178.162,30.212,-31.982,0.444
-0.333,1.068,-2.348,-113.586,11.414,-23.804,0.444
-1.542,-2.271,-0.477,-202.576,34.790,-37.781,0.444
-0.460,-0.451,-0.281,-31.494,-51.514,-1.770,0.444
0.968,2.339,-1.245,-70.251,-11.780,-2.686,0.444
1.764,-1.371,-2.661,-117.249,23.071,-16.296,0.444
-0.372,-0.865,-3.022,-75.256,21.606,-14.832,0.444
-0.161,-1.194,-0.668,-74.829,26.184,-18.555,0.444
0.261,-0.421,-4.000,-18.799,7.751,-17.029,0.444
0.027,-0.709,0.004,-26.062,10.437,-18.188,0.444
-0.079,-2.085,-0.547,10.620,4.578,-5.249,0.444
0.424,-0.215,-0.191,78.796,-10.193,1.465,0.444
-0.745,0.859,-1.330,55.176,3.052,-4.395,0.444
-0.076,-0.129,-2.010,50.842,-4.761,0.671,0.444
-0.623,0.904,-0.752,64.758,-19.714,-1.160,0.444
0.052,-0.010,-0.827,59.692,-13.916,4.089,0.444
0.287,-0.520,-0.768,55.969,-10.803,7.935,0.444
0.403,-0.154,0.087,68.604,11.841,8.728,0.444
-0.272,0.007,-2.330,94.055,-0.488,6.775,0.444
-0.072,0.574,-1.016,75.195,-8.789,12.390,0.444
-0.316,0.736,0.059,57.861,-13.916,14.404,0.444
0.869,0.593,-0.544,44.189,-19.104,4.761,0.444
0.392,0.324,-0.536,32.959,-6.958,-0.183,0.444
0.251,0.166,0.267,25.452,11.475,5.798,0.444
-0.228,0.746,-1.029,6.897,17.395,5.981,0.444
-0.421,0.717,-0.672,-8.850,22.217,0.122,0.444
-0.356,1.026,-1.057,-7.446,7.874,4.700,0.444
-0.291,0.718,-1.267,-17.029,-7.629,-0.671,0.444
0.153,0.575,-0.762,-13.367,-31.372,-0.671,0.444
0.806,-0.480,-0.780,-10.254,-22.644,-5.371,0.444
-0.335,-0.824,-2.001,3.235,-9.155,-2.869,0.444
0.107,-0.281,-0.611,-4.700,5.737,5.859,0.444
-0.357,0.387,-1.854,-12.817,18.433,3.845,0.444
0.559,-0.686,-1.295,-5.188,6.470,1.770,0.444
0.087,0.039,-1.411,-0.366,10.132,2.197,0.444
0.182,-0.037,-0.905,-5.615,11.414,8.484,0.444
0.175,-0.360,-0.624,-6.653,16.968,9.583,0.444
-0.036,0.052,-0.265,3.601,12.146,14.038,0.444
-0.331,0.664,-1.081,2.380,4.944,14.404,2.272
-0.120,0.197,-1.152,-12.695,-0.305,15.076,2.272
0.061,-0.148,-0.688,-18.250,-2.930,13.123,2.272
0.395,-0.060,-1.489,-3.845,-4.089,13.428,2.272
0.335,0.123,-1.000,-7.935,6.470,11.047,2.272
-0.105,-0.232,-0.633,-9.460,14.343,9.155,2.272
-0.157,-0.135,-0.886,-1.282,9.949,8.972,2.272
-0.399,-0.057,-0.421,-2.686,2.258,11.963,2.272
-0.392,0.238,-1.682,0.977,-8.728,17.395,2.272
0.164,-0.145,-1.217,-6.775,-15.930,15.625,2.272
0.364,0.022,-1.262,1.038,-12.329,12.512,2.272
0.375,-0.036,-1.242,0.000,1.648,8.362,2.272
0.312,0.199,-1.078,3.479,7.690,6.287,2.272
-0.136,-0.195,-0.580,-4.578,16.846,4.822,2.272
-0.332,0.066,-0.728,9.155,5.981,8.850,2.272
-0.423,0.286,-0.823,4.333,-4.700,10.193,2.272
-0.146,0.323,-0.958,6.470,-13.306,6.653,2.272
0.392,0.225,-1.390,6.714,-10.132,9.155,2.272
0.323,0.361,-1.276,2.625,1.648,6.714,2.272
0.151,0.416,-1.339,-3.723,7.507,4.028,2.272
0.135,0.099,-0.593,-9.155,11.414,2.563,2.272
-0.206,-0.250,-0.632,-4.822,9.521,4.333,2.272
-0.111,0.144,-0.635,3.357,2.625,5.920,2.272
0.131,0.003,-0.465,0.244,0.183,6.958,2.272
0.062,0.018,-0.990,4.333,4.517,7.996,2.272
